FID,osm_id,name,ref,type,oneway,bridge,maxspeed
2704,104634918.000000000000000,津涞公路,S109,primary,1,1,0
2705,104635216.000000000000000,津涞公路,S109,primary,1,1,0
2706,104635217.000000000000000,津涞公路,S109,primary,1,0,0
2707,104635503.000000000000000,津涞公路,S109,primary,1,1,0
2708,104635626.000000000000000,Jin Lai Expressway,S109,primary,1,0,0
2709,104635627.000000000000000,津涞公路,S109,primary,1,1,0
2710,104636031.000000000000000,津涞公路,S109,primary,1,0,0
2711,104636080.000000000000000,津涞公路,S109,primary,1,0,0
2712,104636188.000000000000000, , ,secondary,1,0,0
2713,104636189.000000000000000, , ,secondary,0,1,0
2714,104636190.000000000000000, , ,secondary,0,0,0
2715,104636191.000000000000000, , ,secondary,1,1,0
2716,104636192.000000000000000, , ,secondary,0,0,0
2717,104636423.000000000000000, , ,secondary,1,0,0
2718,104636542.000000000000000,Jin Lai Expressway,S109,primary,1,1,0
2719,104636631.000000000000000,津涞公路,S109,primary,1,0,0
2720,104636632.000000000000000,Jin Lai Expressway,S109,primary,1,1,0
2721,104638611.000000000000000, , ,motorway_link,1,0,0
2722,104638897.000000000000000, , ,motorway_link,1,0,0
2723,104638898.000000000000000, , ,motorway_link,1,0,0
2724,104639245.000000000000000,Jing Fu Expressway, ,primary_link,1,0,0
2725,104639246.000000000000000,Jing Fu Expressway, ,primary_link,1,0,0
2726,104639325.000000000000000, , ,motorway_link,1,0,0
2727,104639725.000000000000000,津沧高速,S3305,motorway,1,0,0
2728,104639726.000000000000000, ,S228,primary,0,1,0
2729,104639727.000000000000000, ,S228,primary,0,0,0
2730,104639728.000000000000000,津沧高速,S3305,motorway,1,0,0
2731,104639843.000000000000000,Jing Fu Expressway, ,construction,0,1,0
2732,104640080.000000000000000, ,S228,primary,0,0,0
2733,104640082.000000000000000, ,S228,primary,0,0,0
2734,104640180.000000000000000, ,S228,primary,0,0,0
2735,104640183.000000000000000, ,S228,primary,0,1,0
2736,104646160.000000000000000, , ,road,1,1,0
2737,104646161.000000000000000,Xinlao Lu, ,residential,0,0,0
2738,104646452.000000000000000,Xinlao Lu, ,trunk,1,1,0
2739,104646937.000000000000000, ,S228,primary,1,0,0
2740,104647186.000000000000000,荣乌高速,G18,motorway,1,0,0
2741,104647208.000000000000000,Jing Fu Expressway,G105,primary,1,1,0
2742,104647210.000000000000000, ,S228,trunk,1,0,0
2743,104647548.000000000000000, ,S228,primary,1,0,0
2744,104648624.000000000000000, , ,tertiary,1,1,0
2745,104648625.000000000000000, , ,tertiary,1,0,0
2746,104648626.000000000000000, , ,tertiary,1,0,0
2747,104648627.000000000000000, , ,tertiary,1,0,0
2748,104648628.000000000000000, , ,tertiary,1,0,0
2749,104648629.000000000000000,海泰南北大街, ,secondary,1,0,0
2750,104648630.000000000000000, , ,tertiary,1,1,0
2751,104657705.000000000000000,营建路, ,primary,1,0,0
2752,104657708.000000000000000,Xinlao Lu, ,primary,1,0,0
2753,104658153.000000000000000,辛老路,X445,secondary,1,0,0
2754,104658154.000000000000000,辛老路,X445,secondary,1,0,0
2755,104658156.000000000000000,辛老路,X445,secondary,1,0,0
2756,104658157.000000000000000,辛老路,X445,secondary,1,0,0
2757,104658250.000000000000000,Tianhua Lu, ,tertiary,0,0,0
2758,104658767.000000000000000,Tanjiang Lu, ,tertiary,0,1,0
2759,104658769.000000000000000,Tanjiang Lu, ,tertiary,0,0,0
2760,104666141.000000000000000,西青道, ,trunk,1,0,0
2761,104691743.000000000000000,营建路, ,primary,1,1,0
2762,104691744.000000000000000,营建路, ,primary,1,0,0
2763,104691950.000000000000000,营建路, ,primary,1,0,0
2764,104691953.000000000000000,Yingjian Lu, ,primary,1,1,0
2765,104696538.000000000000000,营建路, ,primary,1,0,0
2766,104696542.000000000000000,营建路, ,primary,1,0,0
2767,104696956.000000000000000,营建路, ,primary,1,0,0
2768,104696959.000000000000000,营建路, ,primary,1,1,0
2769,104697567.000000000000000,Yingjian Lu, ,primary,1,1,0
2770,104697568.000000000000000,营建路, ,primary,1,0,0
2771,104699188.000000000000000,丁字沽三号路, ,primary,1,0,0
2772,104699189.000000000000000,京沪高速,G2,motorway,1,0,0
2773,104699196.000000000000000,津雄高速,S7,motorway,1,0,0
2774,104700269.000000000000000, ,G103,trunk_link,1,0,0
2775,104783195.000000000000000,荣乌高速,G18,motorway_link,1,0,0
2776,104783302.000000000000000, , ,motorway_link,1,0,0
2777,104783308.000000000000000,津雄高速,S7,motorway,1,1,0
2778,104783309.000000000000000,津雄高速,S7,motorway,1,0,0
2779,104783313.000000000000000, , ,motorway_link,1,1,0
2780,104788867.000000000000000,京沪高速,G2,motorway,1,0,0
2781,104788870.000000000000000,京沪高速,G2,motorway,1,0,0
2782,104788873.000000000000000,京沪高速,G2,motorway,1,1,0
2783,104788875.000000000000000, , ,motorway_link,1,0,0
2784,104788949.000000000000000, , ,motorway_link,1,0,0
2785,104789220.000000000000000, , ,motorway_link,1,0,0
2786,104789499.000000000000000,京沪高速,G2;G18,motorway,1,0,0
2787,104789682.000000000000000,京沪高速,G2;G18,motorway,1,1,0
2788,104789684.000000000000000,京沪高速,G2;G18,motorway,1,0,0
2789,104789731.000000000000000,京沪高速,G2;G18,motorway,1,1,0
2790,104789733.000000000000000,京沪高速,G2;G18,motorway,1,0,0
2791,104789734.000000000000000,京沪高速,G2;G18,motorway,1,1,0
2792,104789982.000000000000000,京沪高速,G2,motorway,1,0,0
2793,104789984.000000000000000,京沪高速,G2,motorway,1,1,0
2794,104789987.000000000000000,京沪高速,G2,motorway,1,1,0
2795,104790260.000000000000000,王庆坨互通, ,motorway_link,1,1,60
2796,104790352.000000000000000, , ,motorway_link,1,0,0
2797,104790562.000000000000000,王庆坨互通, ,motorway_link,1,1,0
2798,104790571.000000000000000,王庆坨互通, ,motorway_link,1,1,0
2799,104791771.000000000000000,王庆坨互通, ,motorway_link,1,0,0
2800,104791784.000000000000000,京沪高速,G2,motorway,1,1,0
2801,104793164.000000000000000, , ,motorway_link,1,0,0
2802,104793168.000000000000000, , ,motorway_link,1,1,0
2803,104793169.000000000000000, , ,motorway_link,1,0,0
2804,104793173.000000000000000, , ,motorway_link,1,0,0
2805,104793175.000000000000000, , ,motorway_link,1,0,0
2806,104794063.000000000000000,津雄高速,S7,motorway,1,1,0
2807,104794066.000000000000000,津雄高速,S7,motorway,1,0,0
2808,104795333.000000000000000,荣乌高速,G18,motorway,1,0,0
2809,104795334.000000000000000,荣乌高速,G18,motorway,1,0,0
2810,104795335.000000000000000,津雄高速,S7,motorway,1,1,0
2811,104795336.000000000000000,荣乌高速,G18,motorway_link,1,0,0
2812,104795337.000000000000000,荣乌高速,G18,motorway_link,1,1,0
2813,104795339.000000000000000,荣乌高速,G18,motorway,1,1,0
2814,104795341.000000000000000,津雄高速,S7,motorway,1,0,0
2815,104795502.000000000000000, , ,motorway_link,1,0,110
2816,104796319.000000000000000,荣乌高速,G18,motorway_link,1,0,0
2817,104796320.000000000000000,荣乌高速,G18,motorway_link,1,1,0
2818,104796322.000000000000000,荣乌高速,G18,motorway_link,1,1,0
2819,104796853.000000000000000,荣乌高速,G18,motorway_link,1,0,60
2820,104796854.000000000000000, , ,unclassified,0,0,0
2821,104797238.000000000000000,荣乌高速,G18,motorway_link,1,0,0
2822,104797239.000000000000000,荣乌高速,G18,motorway_link,1,1,0
2823,104798224.000000000000000,荣乌高速,G18,motorway_link,1,1,0
2824,104798228.000000000000000,荣乌高速,G18,motorway_link,1,0,0
2825,104798638.000000000000000,津霸线,S111,primary,0,0,0
2826,104798640.000000000000000,京环线,G112,trunk,1,1,0
2827,104798859.000000000000000, , ,unclassified,0,0,0
2828,104799034.000000000000000, , ,motorway_link,1,0,0
2829,104799035.000000000000000, , ,motorway_link,1,0,0
2830,104799170.000000000000000, , ,motorway_link,1,0,0
2831,104799573.000000000000000, , ,motorway_link,1,1,0
2832,104799575.000000000000000, , ,motorway_link,1,0,0
2833,104799576.000000000000000,津雄高速,S7,motorway,1,0,0
2834,104799577.000000000000000, , ,motorway_link,1,0,0
2835,104799578.000000000000000,津雄高速,S7,motorway,1,0,0
2836,104799579.000000000000000,津雄高速,S7,motorway,1,1,0
2837,104799581.000000000000000,津雄高速,S7,motorway,1,1,0
2838,104799582.000000000000000, , ,motorway_link,1,1,0
2839,104800497.000000000000000, , ,motorway_link,1,1,0
2840,104800499.000000000000000, , ,motorway_link,1,0,0
2841,104800501.000000000000000, , ,motorway_link,1,0,0
2842,104801233.000000000000000, , ,motorway_link,1,0,0
2843,104801235.000000000000000, , ,motorway_link,1,1,0
2844,104801236.000000000000000, , ,motorway_link,1,0,0
2845,104801237.000000000000000, , ,motorway_link,1,0,0
2846,104801546.000000000000000, , ,motorway_link,1,0,0
2847,104802050.000000000000000,津雄高速,S7,motorway,1,1,0
2848,104802053.000000000000000,津雄高速,S7,motorway,1,0,0
2849,104802314.000000000000000,津雄高速, ,motorway,1,1,0
2850,104802315.000000000000000,津雄高速, ,motorway,1,0,0
2851,104802554.000000000000000,津雄高速, ,motorway,1,1,0
2852,104802556.000000000000000,津雄高速, ,motorway,1,1,0
2853,104802558.000000000000000,津雄高速, ,motorway,1,1,0
2854,104802559.000000000000000,津雄高速, ,motorway,1,0,0
2855,104802561.000000000000000,津雄高速, ,motorway,1,0,0
2856,104802708.000000000000000,津雄高速,S7,motorway,1,1,0
2857,104802709.000000000000000,津雄高速,S7,motorway,1,0,0
2858,104803396.000000000000000,津雄高速, ,motorway,1,1,0
2859,104803397.000000000000000,津雄高速,S7,motorway,1,0,0
2860,104822373.000000000000000,津雄高速, ,motorway,1,1,0
2861,104822374.000000000000000,津雄高速, ,motorway,1,1,0
2862,104822376.000000000000000,津雄高速, ,motorway,1,0,0
2863,104822521.000000000000000, , ,motorway,1,1,0
2864,104822523.000000000000000,津雄高速, ,motorway,1,0,0
2865,104823163.000000000000000,津雄高速, ,motorway,1,0,0
2866,104823165.000000000000000,津雄高速, ,motorway,1,0,0
2867,104823167.000000000000000,津雄高速, ,motorway,1,0,0
2868,104823170.000000000000000,津雄高速, ,motorway,1,1,0
2869,104823172.000000000000000,津雄高速, ,motorway,1,1,0
2870,104823174.000000000000000,津雄高速, ,motorway,1,1,0
